The parameter values used or converged in the simulated result:
Initial LAI  =  0.037212
Parameter a = 0.00036834
Parameter b = 6.3519e-13
Parameter c = 0.0021741

Estimated grain yield (kg/ha) :
12514.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
279 130 1760.3    nan   3.51  1627.9   4.81   8.96   3.75 1074.3
280 131 1765.9    nan   3.44  1640.4   5.45   7.19   3.54 1086.1
281 132 1771.0    nan   3.38  1654.5   3.92   4.24   3.48 1099.4
282 133 1775.7    nan   3.31  1664.7   1.61  10.10   2.61 1108.9
283 134 1778.4    nan   3.25  1668.9   3.97  10.29   3.50 1112.8
284 135 1779.9    nan   3.18  1679.1   5.99  10.14   3.30 1122.5
285 136 1782.7    nan   3.12  1694.7   0.00   9.68   4.15 1137.0
286 137 1785.7    nan   3.05  1694.7   4.80   9.63   4.68 1137.0
287 138 1791.2    nan   2.99  1707.1   5.38   7.71   4.51 1148.6
288 139 1797.6    nan   2.92  1721.0   5.24   7.34   3.79 1161.5
289 140 1804.9    nan   2.86  1734.6   4.75   9.24   3.81 1174.1
290 141 1811.7    nan   2.79  1746.9   5.32   8.91   4.33 1185.4
291 142 1813.9    nan   2.73  1760.7   5.35   8.25   4.71 1198.1
292 143 1813.9    nan   2.67  1774.6   5.09   8.59   4.69 1210.8
293 144 1813.9    nan   2.61  1787.8   5.00   8.07   5.19 1222.8
294 145 1815.7    nan   2.56  1800.7   2.74   8.34   4.88 1234.7
295 146 1818.2    nan   2.52  1807.8   4.45   8.24   4.19 1241.1
296 147 1824.3    nan   2.49  1819.4   4.29   7.14   4.39 1251.4
297 148 1827.8    nan   2.46  1830.5   4.50   7.76   4.62 1251.4
298 149 1827.8    nan   2.45  1842.1   0.00   3.01   4.62 1251.4
